3488 sayılı Uygulanma İmkanı Kalmamış Olan Kanunların Yürürlükten Kaldırılması Hakkında Kanun
Yayımlandığı Resmî Gazete Tarihi: 08.11.1988
Yayımlandığı Resmî Gazete Sayısı: 19983
Kabul Tarihi	27.10.1988
Madde 0001:
İlişik listedeki kanunlar, yürürlükten kaldırılmıştır.
UYGULANMA İMKANI KALMAMIŞ OLAN KANUNLARIN YÜRÜRLÜKTEN KALDIRILMASI HAKKINDA KANUNUN 1 inci MADDESİNİN EKİ
LİSTE
Kanun Tarihi	No.	A d ı
23.05.1933	2212	Evkaf Umum Müdürlüğünce Bursa da Asri Kaplıcalar Şirketinden Satın Alınacak 16 000 Liralık Hisse Senedi Hakkında Kanun
23.05.1933	2214	Filyos- Ereğli Hattı ile Ereğli Limanının İnşaasına Dair Kanun
23.05.1933	2215	Samsun Sahil Demiryollarının Devlete Mal Edilmesine ve Devlet Demiryolları ve Limanları İşletme Umum Müdürlüğünce İşletilmesine Dair Kanun
25.05.1933	2221	Evkaf Umum Müdürlüğü Memurları Aylıklarının Tevhid ve Teadülü Hakkında Kanun
27.05.1933	2228	İcra ve İflas Kanununun 45 inci Maddesi ile 82 inci Maddesinin 8 Numaralı Bendine Birer Fıkra İlavesine Dair Kanun
28.05.1933	2233	Askerlik Dersleri Muallimlerinin Ücretleri Hakkında Kanun
29.05.1933	2241	Tapu Tahririne Dair Olan 10.04.1340 Tarih ve 474 Sayılı Kanunun 8 inci Maddesinin Tadiline ve Mezkur Kanuna Bazı Fıkralar İlavesine Dair Kanun
30.05.1933	2246	Küçükmenderes Nehri ile Tabiilerinin Islahına Dair Kanun
31.05.1933	2248	Deniz Yolları ve A.K.A.Y. İşletmeleri ile Fabrika ve Havuz Teşkilatı Hakkında Kanun
31.05.1933	2251	İktisat Vekaletinde Deniz ve Hava İşleri Müsteşarlığı Teşkiline ve İktisat Vekaleti Bütçesine Tahsisat Konulmasına Dair Kanun
03.06.1933	2258	Kat i Ticaret Muahedeleri Akdi için Müzakereye Başlanmış veya Başlanacak Devletlerle Muvakkat Ticari İtilaflar Akdi Hakkındaki 1679 Numaralı Kanunu Muaddil 1997 Numaralı Kanuna Müzeyyel Kanun
03.06.1933	2261	28 Mayıs 1927 Tarih ve 1055 Numaralı Teşviki Sanayi Kanununa Müzeyyel Kanun
03.06.1933	2266	1929 Senesi Sonuna Kadar Hazine Alacağı Olarak Muhtelif Hesaplara Kaydolunan Paralardan Bazılarının Tasfiye ve Terkinine Dair Kanun
03.06.1993	2267	Ankara da Yapılacak Jandarma Mektebi Hakkında Kanun
03.06.1933	2268	Umumi İhtiyaç İçin Hariçten Getirilecek Madeni Su Borulariyle Aksam ve Teferruatından Gümrük Resmi Alınmamasına Dair Kanun
03.06.1933	2269	Ankara Su Tesisatı İçin Maliye ve Dahiliye Vekilliklerine Verilen Taahhüt Mezuniyetinin Uzatılması ve Miktarının (2 300 000) Liraya Çıkarılması Hakkında Kanun
05.06.1933	2271	Kaçakçılığın Men ve Takibine Dair Kanunun Bazı Maddelerinin Değiştirilmesine ve Bu Kanunun 58 inci Maddesine Bir Fıkra İlavesine Dair Kanun
08.06.1933	2280	Borç İçin Gayrimenkul Satışına ve Muvazaaya Dair Kanun
08.06.1933	2282	Hava Birliklerinin İhtiyacı Olan İnşaat İşleri İçin 1934, 1935 ve 1936 Senelerine Sari İki Milyon Liralık Taahhüt Yapılması Hakkında Kanun
08.06.1933	2283	Ankara, Konya, Merzifon da Askeri İhtiyaçlar İçin Satın Alınacak Binalar Hakkında Kanun
08.06.1933	2286	Aydın Vilayetinin Yapacağı Yüz Bin Liralık İstikraza Hazinenin Kefaleti Hakkında Kanun
10.06.1933	2289	31.05.1930 Tarih ve 1663 Numaralı Müzeyyel Kanuna Bazı Maddeler İlavesine Dair Kanun
10.06.1933	2292	Osmanlı Bankasının İmtiyaz Müddetinin Temdidi Hakkında Kanun
10.06.1933	2293	Orta Ziraat Mektepleri Muallimleri Kanunu
10.06.1933	2294	Ticaret Mukavelesi veya Modüs Vivendi Akdetmeyen Devletler Ülkesinden Türkiye ye Yapılacak İthalata Memnuiyetler veya Tahdit veya Takyitler Tatbikine Dair Olan 22.07.1931 Tarih ve 1873 Numaralı Kanuna Müzeyyel Kanun
11.06.1933	2297	22.03.1926 Tarih ve 789 Numaralı Kanunun 11 inci Maddesinin Tecili Hakkındaki 1707 Sayılı Kanunun İki Sene Daha Temdidine Dair Kanun
11.06.1933	2299	Tapu Sicil Müdürlüğü ve Tapu Sicil Muhafızlığı Teşkilatı Yapılan Yerlere Tayin Edilecek Memurlar Hakkında Kanun
11.06.1933	2304	Ankara Otomatik Telefon Kanununun 7 nci Maddesine İlave Edilecek Fıkralar Hakkında Kanun
11.06.1933	2305	Cumhuriyet İlanının Onuncu Yıl Dönümü Kutlama Kanunu
12.06.1933	2309	İzmir Rıhtım Şirketinin İmtiyazı ile Tesisatının Satın Alınmasına Dair Kanun
12.06.1933	2312	Muallim Maaşları İçin Vilayetlere İkraz Yapılması Hakkında Kanun
12.06.1933	2315	Türkiye Cumhuriyeti Merkez Bankası Hakkındaki 11 Haziran 1930 Tarihli ve 1715 Sayılı Kanunun İki Maddesinin Tadili Hakkında Kanun
12.06.1933	2317	Çubuk Barajı ve Bursa Ovası Islahat ve İnşaat İşleri İçin Bono Çıkarılması Hakkında Kanun
19.10.1933	2319	Cumhuriyet İlanının Onuncu Yıl Dönümünü Kutlama Hakkındaki 2305 Sayılı Kanuna Müzeyyel Kanun
19.10.1933	2320	11.06.1933 Tarih ve 2305 Sayılı Kanuna Müzeyyel Kanun
19.10.1933	2321	Cumhuriyetin İlanına Müsadif 29 Teşrinievvel Gününün Milli Bayram Addi Hakkında 19 Nisan 1341 Tarih ve 628 Numaralı Kanuna Müzeyyel Kanun
26.10.1933	2325	1666 Numaralı Kanuna Müzeyyel Kanun
26.10.1933	2328	Afganistan Sefareti Binasının Afgan Hükümetine Temlik Edildiğine Dair Kanun
23.11.1933	2337	İstanbul Üniversitesi İçin Bir Milyon 426 374 Liralık İstikraz Akdine veya Hesabı Cari Açtırılmasına Dair Kanun
27.11.1933	2339	Tahsili Emval ve Vergi Kanunları Mucibince Teşkil Edilecek Komisyonlara Tayin Edilen Gayri Muvazzaf Azalar ile Ehlivukufa Verilecek Huzur Ücretleri Hakkında Kanun
21.12.1933	2354	Sivas ve Kayseri Şehirlerinde (1330) Senesinden İtibaren Hükümet Tarafından İmar veya Resmi Binalar Yapmak Maksadıyla İdareten Yıktırılmış Olan Binaların Sahiplerine Verilecek Tazminat Hakkında Kanun
25.12.1933	2359	Ecnebi Memleketlerde Sigara ve Tütün Satmak İçin Bir Limited Şirketi Teşkili Hakkında Kanun
27.12.1933	2363	Ahaliye Ait Olup Jandarma Hizmetlerinde Kullanılan Hayvanlar ile Nakil Vasıtalarının Tazmini Hakkında Kanun
28.12.1933	2367	İstanbul Adliye Binasının Yanması Üzerine Alınacak Tedbirler Hakkında Kanun
28.12.1933	2369	Antalya Vilayeti Hususi İdaresi Tarafından Yapılacak İstikraz Hakkında Kanun
28.12.1933	2370	Memleketinizde Bir Trotil Fabrikası Kurulması Hakkında Kanun
22.03.1934	2390	1700 Numaralı Dahiliye Memurları Kanununun 3 üncü Maddesini Değiştiren Kanun
05.04.1934	2398	Evkaf Umum Müdürlüğünce Bazı İnşaat İçin Taahhüdat Akdi Mezuniyetine Dair Olan Kanuna Müzeyyel Kanun
07.04.1934	2399	Zehirli Gazlarla Bunları Kutlanmağa Mahsus Vasıtaların Memlekete Sokulmasının ve Memlekette Yapılmasının Men i Hakkında Kanun
07.04.1934	2400	Hudut ve Sahiller Sıhhat Umum Müdürlüğü Memurları Maaşlarının Tevhid ve Teadülü Hakkındaki 1587 Numaralı Kanuna Bağlı Cetvelde Tadilat Yapılmasına Dair Kanun
12.04.1934	2405	Fevzipaşa - Diyarbakır Hattı İnşaatının İkmali Hakkında Kanun
19.04.1934	2412	Kocaeli Vilayeti İçinde Karasu Adiyle Yeniden Bir Kaza Kurulması Hakkındaki 2202 Sayılı Kanuna Müzeyyel Kanun
10.05.1934	2429	1700 Sayılı Dahiliye Memurları Kanununun 2 nci Maddesini Değiştirici Kanun
17.05.1934	2436	Tasfiye Edilen «Barut ve Mevadı İnfilakiye» ve «Av ve Revolver Fişenkleri ve Av Mühimmatı» Şirketlerine Ödenecek Paraların Tediye Şekline Dair Kanun
28.05.1934	2455	Damga Resmi Kanununa Müzeyyel Kanun
28.05.1934	2463	Sivas - Erzurum Hattını İnşa İçin Dahili İstikraz Akdine Dair Kanun
29.05.1934	2464	Tapu ve Kadastro Umum Müdürlüğü Kadro Cetvelinde Bazı Değişiklikler Yapılmasına Dair Kanun
29.05.1934	2465	Umumi Nüfus Sayımı Hakkında Kanun
29.05.1934	2468	1933, 1934 Ders Yılı İçinde Münhal Muallimliklere Vekalet Edenlerin Vekalet Müddetleri Hakkında Kanun
29.05.1934	2470	Mektep Kadrolarına Ait 2201 Numaralı Kanuna Bağlı 1 Numaralı Cetvelin Tadiline Dair Kanun
31.05.1934	2483	1452 Sayılı Teadül Kanununa Merbut 2 Numaralı Cetvelin Sıhhat ve İçtimai Muavenet Vekaletine Ait Kısmında Değişiklik Yapılmasına Dair Kanun
31.05.1934	2487	İzmir- Kasaba ve Temdidi Demiryollarının Satınalınmasına Dair Olan Mukavelenamenin Tasdiki Hakkında Kanun
31.05.1934	2488	Satın Alınan İzmir- Kasaba ve Temdidi Hattının Tesellümü ve Tasfiyesi ve İşletmesi Muamelatına Ait Kanun
04.06.1934	2495	Yunan Parlamento Azasının Türkiye Devlet Demiryolları Üzerinde Meceanen Seyahatleri Hakkında Kanun
14.06.1934	2511	Çubuk Barajı İnşaatının İkmali ve Ankara Şehri Suyunun Bu barajdan Temini Hakkında Kanun
13.06.1934	2521	Liman İşlerinin Hükümetçe İdaresine Dair Kanun
18.06.1934	2522	Ziraat Vekaleti Kadro Cetvelinde Bazı Değişiklikler Yapılmasına Dair Kanun
21.06.1934	2526	Nebat ve Hayvanlar ile Mahsulatının Muayene ve Temizleme İşleri İçin Kurulacak Fenni Müesseselere Dair Kanun
23.06.1934	2530	Müze ve Rasathane Teşkilat Kanunu
23.06.1934	2537	Afyon Karahisarı ndaki Zafer Heykelinin Gümrük Vesair Resimlerinden İstisnası Hakkında Kanun
23.06.1934	2538	Orta Orman Mektebi Teşkili ve Muallimleri Hakkında Kanun
23.06.1934	2539	Ankara da Hakimiyeti Milliye Meydanında Rekzedümiş Olan Zafer Abidesinin Ecnebi Memleketlerden Getirilmiş Kısımlarının Gümrük Resminden Muafiyetine Dair Kanun
25.06.1934	2541	Milli Musiki ve Temsil Akademisinin Teşkilat Kanunu
04.07.1934	2560	05.08.1325 Tarihli Tahsili Emval Kanununa Müzeyyel Kanun
04.07.1934	2562	Vilayetler Hususi İdarelerinin Borçları ve 1934 Mali Senesi Bütçeleri Hakkında Kanun
04.07.1934	2563	İsparta Vilayeti Hususi İdaresi Tarafından Yapılacak İstikraz Hakkında Kanun
04.07.1934	2566	Vergi Bakayasının Tasfiyesine Dair Kanun
05.07.1934	2572	Deniz Yolları ve Akay İşletmeleri ile Fabrika ve Havuzlar Teşkilatı Hakkındaki 2248 Sayılı Kanuna Müzeyyel Kanun
05.07.1934	2576	Gizli Nüfusların Yazımı Hakkında Kanun
05.07.1934	2578	Vakıf Akarlarının Tamir ve İhyası İçin Satış Bedellerinden Yüz Elli Bin Liranın Sarfına Dair Kanun
24.11.1934	2589	Heyeti Mahsusalarca Aleyhlerine Verilip Kendilerine Tebliğ Olunmayan Kararlara Karşı Alakalıların İtiraz Edebilmeleri Hakkında Kanun
29.11.1934	2591	Eşkiya Müsademesinde Malul Olanların İktisadi Buhran Vergisi İstisnaiyetinden ve İnhisar Eşyası beyiyesinden İstifade Hususunda Harp Malülü Sayılacaklarına Dair Kanun
01.12.1934	2595	Askeri Memnu Mıntakalarda İstimlak Bedellerinin Tesviyesine Dair 1744 Numaralı Kanuna Eklenen Kanun
10.12.1934	2604	Vilayetler Evi Müteahhidi İstihkakı İçin Bono Verilmesine ve Vilayetler Evinin Tesisat ve Mefruşatı İçin İki Yüz Binlaraya Kadar Taahhüt İcrasına ve 1935 ve 1936 Seneleri Bütçelerine Konacak Tahsisat ile Ödenmek Üzere Bono Çıkarılmasına Mezuniyet Verilmesine Dair Kanun
13.12.1934	2609	1366 Sayılı Kanunda Değişiklik Yapılmasına Dair Kanun
13.12.1934	2611	Afyonkarahisar - Antalya Demiryolunun İnşasına Dair 2134 Numaralı Kanuna Ek Kanun
15.12.1934	2614	Sivas - Erzurum Hattını İnşa İçin Dahili İstikraz Akdine Dair 2463 Numaralı Kanunun 1 inci Maddesine Bir Fıkra İlavesi Hakkında Kanun
15.12.1934	2617	1453 Numaralı Kanunun 6 ncı Maddesinin Tadili Hakkında Kanun
15.12.1934	2618	Kanunla Verilen İzinler Üzerine Yapılan Kefaletlerin Nasıl Yerine Getirileceği Hakkında Kanun
20.12.1934	2624	Orta Tahsil Mekteplerinde Yardımcı Muallim Çalıştırılması Hakkında Kanun
20.12.1934	2628	Adapazarı Türk Ticaret Bankasının Tezyid Olunan Sermayesine Hazinenin İştiraki Hakkında Kanun
22.12.1934	2630	İdarei Umumiyei Vilayat Kanununun Bazı Maddelerini Değiştiren Kanun
22.12.1934	2635	Kaçakçılığın Men ve Takibine Dair Olan 1918 Sayılı Kanunun 71 inci Maddesinde Yazılı Müddetin Uzatılmasına ve bu Kanuna Bir Madde Eklenmesine Dair Kanun
22.12.1934	2642	Ankara da Yaptırılacak Emniyet Abidesinin Heykeltraşlık İşleri Arasına Giren Heykeller ile Parçalarının Gümrük Resminden İstisnası Hakkında Kanun
22.12.1934	2645	Milli İktisat ve Tasarruf Cemiyetine Armağan Edilen Sesli Sinema Makinesi ile Parçaları ve Teferruatından Gümrük Resmi ile Başka Vergi ve Resim Alınmaması Hakkında Kanun
23.12.1934	2649	Gizli Nüfusların Yazımı Hakkındaki 15.07.1934 Tarih ve 2576 Sayılı Kanunun Birinci ve Sekizinci Maddesindeki Müddetlerin Uzatılması Hakkında Kanun
23.12.1934	2652	Çekirge Haberleşme Ofisini Kuran 20.05.1926 Tarihli Bağlantının Daha Üç Yıl Muteber Olması İçin Kanun
23.12.1934	2653	Evkaf Umum Müdürlüğünce Alınacak Zeytinlikler Hakkında Kanun
23.12.1934	2655	İstanbul Rıhtım, Dok ve Antrepo Şirketinden Satın Alınan Rıhtım ve Antrepolarla Vasıtaların ve İmtiyaz Haklarının İşletme Tarzına ve Menkul ve Gayrimenkul Malların Kullanılmasına Dair Kanun
23.12.1934	2660	18 Nisan 1928 Tarih ve 1223 Sayılı Kanuna Ek Kanun
23.12.1934	2665	İstanbul Rıhtım, Dok ve Antrepo Türk Anonim Şirketinin Malları ile İmtiyaz Haklarının Satın Alınmasına Dair Kanun
23.12.1934	2668	Balya- Karaaydın Şirketi Namına Dışardan Getirilecek Gazolin in Gümrük Resminden ve Muamele Vergisinden Muafiyetine Dair Olan 21.12.1931 Tarih ve 1895 Sayılı Kanun Hükmünün, 1934 Mali Yılı Sonuna Kadar Uzatılması Hakkında Kanun
13.03.1935	2673	Uluslararası Kadınlar Birliğinin İstanbul da Yapılacak Toplantısı Münasebetiyle Bastırılacak Hatıra Posta Pulu Hakkında Kanun
11.04.1935	2686	Türk Parası Kıymetini Koruma Kanununa Müzeyyel Kanun
11.04.1935	2687	İstanbul Üniversitesinin Elektromekanik Şubesine Ait Alat ve Edevat ve Kitapların Yüksek Mühendis Mektebine Devri Hakkında Kanun
02.05.1935	2702	1453 Numaralı Kanunun Bazı Maddeleriyle 1 Numaralı Cetveli ve Mezkur Kanunun 6 ncı Maddesini Tadil Eden 2617 Numaralı Kanunun Birinci Maddesini Tadil Eden Kanun
04.05.1935	2707	Askeri ve Mülki Tekaüt Kanununun Dördüncü Maddesine Müzeyyel Kanun
04.05.1935	2708	Denizyolları ve A.K.A.Y. İşletme idaresinin Yaptıracağı Gemiler İçin 10 000 000 Liralık Tahsisat Verilmesi Hakkında Kanun
04.05.1935	2709	Ankara da Stadyumda Kurulacak Tribünler İçin Getirilecek Demir Malzemenin Gümrüksüz Geçirilmesine Dair Kanun
23.05.1935	2727	PTT Umum Müdürlüğü Bütçe Açığına Karşılık Olmak üzere 200 Bin Liralık İstikraz Akdine Dair Kanun
30.05.1935	2745	Aydın Demiryollarının Satınalınmasına Dair Mukavelenin Tasdiki Hakkında Kanun
30.05.1935	2746	Küçük Yozgat Barut ve Silahtarağa Fişek Fabrikaları Müstahdemlerinin Askeri Fabrikalar Umum Müdürlüğü Esas Kadrosuna İlave Edilmesi Hakkında Kanun
30.05.1935	2748	Türkiye Cumhuriyeti Merkez Bankası Hakkındaki 11.06.1930 Tarih ve 1715 Numaralı Kanunun 12.06.1933 Tarih ve 2315 Numaralı Kanunla Tadil Edilmiş Olan 40 ıncı Maddesinin Yeniden Tadiline Dair Kanun
30.05.1935	2750	Ankara da Yaptırılacak Mülkiye Mektebi Hakkında Kanun
03.06.1935	2759	Kat i Ticaret Muahedeleri Akdi İçin Müzakereye Başlanmış veya Başlanacak Devletlerle Muvakkat Ticari İtilaflar Akdi Hakkında 07.06.1933 Tarih ve 2258 Sayılı Kanunla Verilen Selahiyet Müddetinin Üç Sene Uzatılmasına Dair Kanun
03.06.1935	2761	Türkiye de Açılacak Beynelmilel Panayır ve Sergilerin Vergi ve Resimlerden Muafiyetine Dair Kanun
07.06.1935	2763	14.04.1930 Tarih ve 1580 Sayılı Belediye Kanunuma Ek Kanun
07.06.1935	2765	Bölge Sanat Okullarının Kültür Bakanlığı Tarafından Yönetilmesi Hakkında Kanun
10.06.1935	2768	Dahiliye Memurları Kanununun 2 nci Maddesini Değiştiren 2429 Sayılı Kanunun Birinci Maddesini Değiştiren Kanun
10.06.1935	2769	Temyiz Mahkemesinin Ankara ya Nakli Hakkında Kanun
12.06.1935	2778	Ağıllar Kanununun Birinci Maddesini Değiştiren 1948 Sayılı Kanunun Birinci Maddesinde Yazılı Müddeti Uzatan Kanun
12.06.1935	2781	Balya- Karaaydın Madenleri Kiralama ve İşletme Şirketinin Getireceği Mayi Madeni Mahrukatın Gümrük ve Muamele Resminden İstisnasına Dair Kanun
12.05.1935	2784	Satınalınan Aydın ve Şuabati Demiryollarının Tesellüm ve Tasfiyesine ve İşletme Muamelatına Dair Kanun
12.06.1935	2786	Pulluk Kanununa Ek Kanun
14.06.1935	2793	Ankara Şehri Su Tesisatının İkmali Hakkındaki Taahhüt Mezuniyetinin Uzatılmasına Dair Kanun
14.06.1935	2797	Milli Müdafaa Vekaleti Hava Kısmında Ücretle Çalışan Uçuş Muallimleri Maaşları Hakkında Kanun
14.06.1935	2803	Üsküdar-Kadıköy ve Havalisi Halk Tramvayları Türk Anonim Şirketinden Satılığa Çıkarılan Hisse Senetlerinden 218 220 Liralık Hisse Senedinin Evkaf Umum Müdürlüğünce Satın Alınmasına Dair Kanun
14.06.1935	2808	Mazbut Emlak, Yurtluk ve Ocaklık Aylığı Mukabili Verilecek Emlak ve Arazi Hakkındaki 1943 Sayılı Kanuna Ek Kanun
14.06.1935	2812	Ankara Belediyesinin Hariçten Getireceği Makineler ve Yedek Parçalarının Resimsiz Gireceğine Dair Kanun
14.06.1935	2813	Kanunla Verilen İzinler Üzerine Yapılan Kefaletlerin Nasıl Yerine Getirileceği Hakkında 2618 Numaralı Kanuna Müzeyyel Kanun
14.06.1935	2814	Türkiye Ziraat Bankasının İpotekli ve Müteselsil Kefaletli Zirai Alacaklarının Taksitlendirilmesine Dair Kanun
14.06.1935	2816	Çubuk Barajı ve Civarının Ağaçlandırılmasına ve Düzeltilmesine ve Kırkgözler Kaynağından Getirilecek Suya Ait Masraf Karşılığının Ne Suretle Temin Edileceğine Dair Kanun
14.06.1935	2817	Ankara- İstanbul- Avrupa Telefon Devrelerinin Islahı ve Teksirine Dair Kanun
14.06.1935	2821	Bazı Şekerli Maddelerden Alınmamış Olan Mualeme Vergisinin Terkinine Dair Kanun
04.10.1935	2823	21.06.1927 Tarih ve 1113 Numaralı Kefalet Kanununa Ek Kanun
21.10.1935	2830	İzmir Rıhtım Şirketinin İmtiyazı ile Tesisatının Satın Alınmasına Dair Olan 12.06.1933 Tarih ve 2309 Sayılı Kanuna Ek Kanun
21.10.1935	2837	İskan Hakkındaki 2510 Sayılı Kanuna Ek Kanun
15.11.1935	2845	Cami ve Mescitlerin Tasnifine ve Tasnif Harici Kalacak Cami ve Mescit Hademesine Verilecek Muhassasat Hakkında Kanun
15.11.1935	2847	Devlet Demiryolları ve limanları İşletme Umum Müdürlüğü Memur ve Müstahdemlerinin Ücretlerine Dair Kanun
06.12.1935	2858	İstanbul Üniversitesi İçin 213 452 Liralık İstikraz Yapılması veya Hesabı Cari Açtırılması Hakkında Kanun
09.12.1935	2859	Ankara Numune Hastahanesi Kadrosundaki Hemşire Adedinin Artırılması Hakkında Kanun
18.12.1935	2866	Ankara Şehri Su Tesisatının Tamamlanması, Etlik ve Keçiören e Su Verilmesi ve Gençlik Parkında Havuz İnşası İçin Tahsisat Verilmesine Dair Kanun
18.12.1935	2867	Bursa Ovası Islahat ve İnşaat İşlerinin Bitirilmesini Temin İçin 550 Bin Liralık Taahhüde Girişilmesi Hakkında Kanun
23.12.1935	2871	Arazi ve Bina Vergileriyle Binalardan Alınan İktisadi Buhran Vergisinin Vilayet Hususi İdarelerine Devri Hakkında Kanun
25.12.1935	2879	Umumi Muvazeneye Giren Vekalet ve Daireler ile Vakıflar Umum Müdürlüğü Arasında Bütün Alacak ve Vereceklerin Karşılıklı Olarak İbrasına Dair Kanun
25.12.1935	2884	Tunceli Vilayetinin İdaresi Hakkında Kanun
08.01.1936	2887	Tunceli Vilaveti Hakkından Olup da Nüfus ve Askerlik Kanunlarına Göre Kendilerine Verilmesi Lazım Gelen Bazı Cezaların Affına ve Nüfus Yazımı ile Askerlik İşlerine Dair Kanun
29.01.1936	2907	Askerlik Kanununun 36 ncı Maddesinin Tadili Hakkında Kanun
06.02.1936	2917	2784 Numaralı Kanunun 6 ncı Maddesine Bir Fıkra İlavesine Dair Kanun
03.04.1936	2932	Askeri Sanatlar Lisesi Mezunlarının İaşe, İlbas ve Maaşları Hakkında Kanun
24.04.1936	2955	Donanma İhtiyacı İçin Milli Müdafaa Vekilliği Tarafından Sovyet Memleketlerinden Getirilen 5 Bin Ton Mazottan Alınacak Gümrük Resmi ve İstihlak Vergisi Miktarı Hakkında Kanun
08.05.1936	2967	Ticaret Mukavelesi ve Modüs Vivendi Akdetmeyen Devletler Ülkesinden Türkiye ye Yapılacak İthalata Memnuiyetler veya Temdit veya Takyidler Tatbikine Dair Olan 2294 Numaralı Kanuna Müzeyyel Kanun
22.05.1936	2980	Milli Müdafaa Vekaletince 67 Milyon Liralık Taahhüde Girişilmesi Hakkında Kanun
26.05.1936	2984	Konya Ovası Sulama İdaresi ile Yüksek Mühendis Mektebi ve Ankara Yüksek Ziraat Enstitüsünün Muvazenei Umumiyeye Alınmasına Dair Kanun
08.06.1936	3002	İstanbul da Yapılacak Devrim Anıtı Hakkında Kanun
09.06.1936	3010	Muhasebe-i Umumiye Kanununun 83 üncü Maddesinin H Fıkrasının Tadiline Dair Kanun
09.06.1936	3018	Ticarette Tağşişin Men i ve İhracatın Murakabesi ve Korunması Hakkındaki 1705 Numaralı Kanuna Ek Kanun
09.06.1936	3023	Amerika Birleşik Devletlerine 13 Senede Ödenecek 23 824,86 Doların Sureli Tediyesi Hakkında Kanun
10.06.1936	3025	Van Gölü İşletmesi Kanunu
10.06.1936	3026	İstanbul Telefon Tesisatının Satın Alınmasına Dair Hükümetle Şirket Arasında Aktedilen Mukavelenin Tasdiki Hakkında Kanun
11.06.1936	3027	Askerlik Kanununun 5 inci Maddesiyle 35 inci Maddesinin C Fıkrasına Birer Fıkra İlavesi Hakkında Kanun
11.06.1936	3031	Hazineden Taksitle Gayrimenkul Mal Satın Almış Olanların Taksit Bedellerinin Tecili Hakkındaki 1773 Numaralı Kanunu Tadil Eden 2222 Numaralı Kanuna Ek Kanun
11.06.1936	3033	Devlet Kitapları Mütedavil Sermayesi Hakkındaki 2133 Numaralı Kanunun Dördüncü Maddesi Hükmünün Üç Yıl Uzatılması Hakkında Kanun
11.06.1936	3034	Doyçe Bank Elinde Bulunan Ergani Bakırı Türk Anonim Şirketi Hisse Senetlerinin Satın Alınmasına Dair Kanun
11.06.1936	3035	Kızılay Kurumuna Bin Ton Buğday Verilmesine ve Ziraat Bankasına Yatırılmış Olan Buğdayı Koruma Vergisi Hasılatı Bakiyesinin Mahsuba Hakkında Kanun
11.06.1936	3036	Vakıflar Umum Müdürlüğünce Bazı İnşaat İçin Taahhüdat ve İstikraz Akdi Mezuniyetine Dair 2037 Numaralı Kanuna Müzeyyel 2398 Numaralı Kanuna Ek Kanun
12.06.1936	3043	1702 ve 1880 Sayılı Kanunların Tadilini Dair Olan 2517 Sayılı Kanunun 2 nci Maddesinde Sözü Geçen Çizelgenin Değiştirilmesi Hakkında Kanun
12.06.1936	3047	Denizyolları ve Akay İşletmeleri İdarelerinin Yaptıracağı Gemiler İçin 10 Milyon Liralık Tahsisat Verilmesine Dair Olan 2708 Numaralı Kanunun 1 inci Maddesinin Değiştirilmesi Hakkında Kanun
12.06.1936	3052	İhtiyat Subay ve Askeri Memurlar Kanununun 14 üncü Maddesinin Değiştirilmesi ve Yine Mezkur Kanunun 3 üncü Maddesini Değiştiren 2754 Numaralı Kanunun 1 inci Maddesine Yapılan Ek Hakkında Kanun
12.06.1936	3053	İstanbul Eski Telefon Şirketinin Abonelerinden Fazla Aldığı Mükaleme Ücretlerinden Resmi Daire ve Müesseselere Ait Olanların İstanbul Belediyesine Terki Hakkında Kanun
31.07.1936	3060	Milli Müdafaa Vekaletince Taahhüde Girişilmesi Hakkındaki 2980 Sayılı Kanuna Ek Kanun
13.11.1936	3062	Hafta Tatili Kanununun 5 inci Maddesini Tadil Eden 936 Numaralı Kanunun 4 üncü Maddesinin Değiştirilmesi Hakkında Kanun
27.11.1936	3070	Türk Parasının Kıymetini Koruma Hakkındaki 1567 Numaralı Kanunun 4 üncü Maddesini Değiştiren Kanun
27.11.1936	3071	Sivas Atölyesine Muktazi Tezgahlar İçin 2 500 000 Liraya Kadar Taahhüt Yapılmasına Dair Kanun
11.01.1937	3091	Yabancı Memleketlere Gönderilecek Domuz ve Müstahzaratından Muayene Resmi Alınmamasına Dair Kanun
27.01.1937	3106	Susüzgeci İstasyonunun İşletilmesi ve Süzgeçten Baraja Kadar Olan İsale Hattının İdare ve Muhafazası ile Masrafları Hakkında Kanun
12.02.1937	3131	Deniz Yolları ve Akay İşletmeleri İdarelerinin Yaptıracağı Gemiler İçin On Milyon Liralık Tahsisat Verilmesine Dair Olan Kanunun Birinci Maddesinin Değiştirilmesi Hakkındaki 3047 Sayılı Kanunun 1 inci Maddesinin Değiştirilmesine Dair Kanun
12.02.1937	3132	Yeniden Yapılacak Su İşlerine 31 Milyon Lira Tahsisi ve Bunun İçin Gelecek Senelere Geçici Taahhüt İcrasına Mezuniyet Verilmesi Hakkında Kanun
31.03.1937	3146	Hükümetle Ereğli Şirketi Arasında Aktedilen 28.11.1936 Tarihli Satın Alma Mukavelenamesinin Tasdikine Dair Kanun
26.04.1937	3155	Jandarma Efradı Kanununun Bazı Maddelerinin Değiştirilmesine Dair Kanun
26.04.1937	3156	Şark Demiryolları İmtiyazı ile Şirkete Ait Malların Satın Alınmasına Dair Mukavelenin Tasdiki Hakkında Kanun
28.04.1937	3159	Satın Alınan Şark Demiryolları İmtiyazı ile Şirkete Ait Malların Tesellüm ve İşletme Muamelelerine Dair Kanun
