3488 sayılı Uygulanma İmkanı Kalmamış Olan Kanunların Yürürlükten Kaldırılması Hakkında Kanun
Yayımlandığı Resmî Gazete Tarihi: 08.11.1988
Yayımlandığı Resmî Gazete Sayısı: 19983
Kabul Tarihi	27.10.1988
Madde 0001:
İlişik listedeki kanunlar, yürürlükten kaldırılmıştır.
UYGULANMA İMKANI KALMAMIŞ OLAN KANUNLARIN YÜRÜRLÜKTEN KALDIRILMASI HAKKINDA KANUNUN 1 inci MADDESİNİN EKİ
LİSTE
Kanun Tarihi	No.	A d ı
11.04.1338	213	Kars-Ardahan-Borçka-Hopa Tarikinin Turuku Umumiye Meyanına İthaline Dair Kanun
11.04.1338	214	Beyazit Livasına İthal Olunacak Zahair Hakkında Kanun
15.04.1338	215	Sigara Kağıtları, Kibrit ve Kav Kutularının istihlak Resmine Dair 12 ve 14 Mart 1334 Tarihli Kanunlara Müzeyyel Kanun
16.04.1338	220	Kibrit İstihlak Resminin Tezyidi Hakkında Kanun
16.04.1338	221	Sigara Kağıdının İstihlak Resminin Tezyidine Dair Kanun
18.04.1338	223	Mükellefiyeti Nakliyeyi Askeriye Kanunu
02.05.1338	228	Müecceliyeti Askeriye Vergisi Hakkında Kanun
09.05.1338	231	Harp Kazançları Vergisi Kanununun 27 nci Maddesinin Birinci Fıkrasını Muaddil Kanun
18.06.1338	238	Zahire İthalatından Alınan Gümrük Rüsumunun Temdidi Meriyetine Dair Kanun
02.07.1338	240	Elviyeyi Selasede Vergilerin Sureti Cibayetine Dair Kanun
20.07.1338	246	Müecceliyeti Askeriye Vergisi Kanununu Muaddil Kanun
31.07.1338	248	Garp Cephesinde Bilfiil Harekatı Askeriye Sahası Olan Mevaki Aşarı Hakkında 16 Temmuz 1337 Tarihli Kanunun Temdidi Meriyetine Dair Kanun
23.03.1338	251	Harp Kazançları Vergisinin Tahsilline Dair Olan 25 Teşrinievvel 1336 Tarihli Kanuna Tezyil Edilen Kanun
23.08.1338	252	Zonguldak Memurları Maaşına Zamaim İcrasına-Dair 23 Kanunuevvel 1336 Tarihli Kanunun İlgası Hakkında Kanun
24.08.1338	253	Malulini Guz atın Terfih ve İkdarı Hakkında Kanun
24.08.1338	254	Türkiye Dahilinde Açılmış ve Açılacak Mıntaka Ziraat Mekteplerinin Ziraat Bankası Tarafından idaresine Dair Kanun
11.09.1338	260	28 Şubat 1338 Tarihli Avans Kanununun 3 üncü Maddesinin İlgasına Dair Kanun
25.09.1338	267	Düşmandan İstihlas Edilmiş ve Edilecek Mahallere Muavenet Hakkındaki 31 Teşrinievvel 1337 Tarihli Kanuna Müzeyyel Kanun
09.12.1338	268	Sinop ta Tersane Namı ile Mevcut Arazinin Belediyeye Terkine Dair Kanuna Zeyil Kanun
08.01.1338	280	Anadolu ve Bağdat ve Uşak - Afyonkarahisar Demiryolları Tarifeleri Hakkında Kanun
13.01.1338	281	İstilazedelere Tavizeh Verilecek Tohumluk Bedeli Hakkında Kanun
20.01.1338	282	Yunanlılardan Tahlis Olunan Mahallerde Menhubat Komisyonlarının Sureti Teşkili ile Vezaifine Dair Kanun
07.10.1338	284	Şurayı Evkaf Hakkında Maddei Münferide
11.11.1339	295	Müsakkafat Vergisi ve Ağnam Resmiyle Gümrük Tarifesinin Tadiline ve 15 Ağustos 1336 Tarihli Kanunun ilgasına ve Memaliki Müstahlasa Aşar Muamelatına ve Aşar Mültezimlerinden Edayi Deynedenlerin Emlaki Merhune ve Mütefevvizelerinin İadesine ve Aşar Nizamnamesin ve Vilayetlerin Hissei Menafi ve Maarifine ve Tömbekiler Bey iye ve İstihlak Resmine ve 9 Kanunuevvel 1338 Tarihli Avans Kanununa Bir Madde İlavesine Dair Kanun
25.01.1339	299	İstanbul Vilayeti ile Düşmandan İstihlas Edilen Mahallerin Aşar Hissei İanesi Hakkında Kanun
30.01.1339	300	Memurin Muhakematına Müteallik Vezaifin Sureti İfası Hakkındaki 4 Temmuz 1337 Tarihli Kanunun 4 üncü maddesinin Tadiline Dair Kanun
08.03.1339	315	Nisabı Müzakere Kanununun 6 ncı ve 8 inci Maddelerini Muaddil Kanun
28.03.1339	317	Memaliki Müstahlasada İşgal Müddetince Tekevvün Eden Her Nevi Deavi ve Muamelatı Şeriye ve Nizamiye ile Sadır Olan Hükümler Hakkında Yapılacak Muameleye Dair Kanun
08.04.1339	326	İdarei Vilayat Kanuniyle Tedrisatı İptidaiye Kararnamesinin Tadiline Dair Kanun
09.04.1339	327	Şarki Anadolu Demiryollarına Dair Kanun
12.04.1339	328	Duyunatı Sabıkanın Sureti Tediyesine Dair Kanun
12.04.1339	329	Ziraatte Müstamel Olup Hariçten İthal Edilecek Mevaddın Gümrük ve İstihlak Resmine Dair Kanun
12.04.1339	330	Hariçten İthal Edilecek Hayvanatın İki Sene Müddetle Gümrük Resminden Muafiyetine Dair Kanun
15.04.1339	333	Ahar Mahallere Nakledilen Eşhasın Emval ve Düyun ve Matlubatı Metrukesi Hakkındaki 17 Zilkade 1333 ve 13.09.1331 Tarihli Kanunu Muvakkatin Bazı Msvaddı ile 20.04.1338 Tarihli Emvali Metruke Kanununu Muaddil Kanun
16.04.1339	337	Vefaen Beyi ve Ferağ veya Teminat Suretiyle Emvali Gayrimenkulleri Merhun Olup Tediyeyi Deynedemiyen Medyunların Emlak ve Düyunu Hakkında Kanun
16.04.1339	338	26 Cemaziyelahir 1336 ve 08.04.1334 Tarihli Sükna Kanununun İlgasına Dair Kanun
25.09.1339	347	Mücadelei Milliyeye İştirak Etmiyen ve Hududu Milli Haricinde Kalan Erkan, Ümera ve Zabitan ve Memurin ve Mensubini Askeriye Hakkında Yapılacak Muameleyi ve Cidali Milliye İştirak Edenlerin Tekaüd Müddetlerinin Sureti Hesabını Natık Kanun
06.10.1339	350	Teşkilatı Hazariye Dolayısiyle Açıkta Kalacak Olan Erkan, Ümera, Zabıtan ile Memurin ve Mensubini Askeriyeye 1339 Seneyi Maliyesi Nihayetine Kadar Tam Maaş ve Tam Tahsisat İtasına Dair Kanun
18.10.1339	354	İstiklal Harbi Malullerinin terfih ve İkdarı Hakkındaki Kanun Ahkamının Temdidi Meriyetine Dair Kanun
18.10.1339	355	Terhis Olunan İhtiyat Zabitanına Tahsisat İtasına Dair Kanun
18.10.1339	358	97-317 (dahil) Tevellütlü Firar, Bakaya, Tecavüzü Müddet, Ademi İcabet ve Nüfusu Mektume Erbabı Haklarında Yapılacak Muameleyi Natık Kanun
20.10.1339	359	97-317 (dahil) Tevellütlü firar, Bakaya, Tecavüzü Müddet, Ademi İcabet ve Nüfusu Mektume Erbabı Haklarında Yapılacak Muameleyi Natık 18.10.1339 Tarihli Kanunun Birinci Maddesinin fıkrai Ahiresinin Tadiline Dair Kanun
22.10.1339	360	Berri, Bahri, Havai ve Jandarma Erkan, Ümera ve Zabitan ile Memurin ve Mensubini Askeriye Maaşat ve Tahsisatı Fevkaladeleri Hakkında Kanun
24.10.1339	361	Evkafı Mülhaka Fazlalarından Alınmakta Olan Mali Maktuun İlgasına Dair Kanun
08.11.1339	367	Rüyeti bir mahalli Mahkeme Veya Dairei Adliyesine Ait Olan Deavi ve Mesalihi Diğer Mahal Mahkeme veya Dairei Adliyesinde Muvakkaten Rü yet ve Hükkam ve Müstantıklar ve Hakim Muavinleriyle Müddeiumumilere Vazifei Asliyelerine İlaveten Vezaifi Sairei Adliyeyi Dahi Kezalik Muvakkaten İfa Ettirmeğe Adliye Vekaletinin Mezuniyetine Dair Kanun
03.11.1339	368	Mübadele, İmar ve İskan Kanunu
14.11.1339	371	Heyeti Temyiziye Merkezinin Eskişehire Nak line ve Teşkilatın Tevsiine Dair Kanun
19.11.1339	372	30.10.1334 den 23.08.1339 Tarihine Kadar Geçen Müddet Zarfında Müdafaai Memleket Uğrunda İka Edilmiş olan Ef al ve Harekatın Cürüm Addolunmayacağı Hakkında Kanun
26.01.1340	401	Muallimin ve Talebenin Askerlikten Tecilleri Hakkındaki 21.02.1337 Tarihli Kanuna Müzeyyel Kanun
06.02.1340	407	Rize Vilayetiyle Borçka Kazasında Fındık, Portakal, Limon, Mandalina ve Çay Yetiştirilmesi Hakkında Kanun
12.02.1340	411	Meskükat Darbı Hakkında Kanun
14.02.1340	415	Hizmeti Fiiliye Erbabına Yeni Ziraat Usullerinin Öğretilmesi Hakkında Kanun
16.02.1340	416	316 ve 317 Tevellütlü Olup İstiklal Milli Harbi Esnasında Hasbellüzum Hizmeti Fiiliyeleri Tehir Edilmiş Olan Mükellefin Hakkında Kanun
20.02.1340	418	Türkler ve Türk Şirketleri Tarafından İştira Olunan Buharlı Sefainin Gümrük Resminden İstisnasına Dair Kanun
21.02.1340	420	Men i Müskirat Kanunu Mucibince Türkiye Haricine Çıkarılmak Üzere İdhar Edilmiş Olan Müskirat ve Şarapların Tehiri İmhası Hakkında Kanun
28.02.1340	426	İdaret Umumiyei Vilayat Kanunu ile Tedrisatı İptidaiye Kararnamesinin Tadiline Dair 08.04.1339 Tarihli Kanunun Bazı Mevaddını Muaddil Kanun
28.02.1340	427	Trabzon, Rize ve Giresun Vilayetlerine İthal Olunacak Mısırın Gümrük Resmi Hakkında Kanun
03.03.1340	429	Şer iye ve Evkaf ve Erkanı Harbiyei Umumiye Vekaletlerinin İlgasına Dair Kanun
13.03.1340	439	Orta Tedrisat Muallimleri Kanunu
13.03.1340	441	Hükümet Yedinde Sahipsiz Olarak Mevcut Bulunan Emlakin, Emval ve Emlaki Düşman Usat ve Hasbeliüzum Hükümet Tarafından Tahrib Edilmiş Olanlara Nisbet Dahilinde Tevzii Hakkında Kanun
23.03.1340	449	Samsun - Sivas ve Ankara - Musaköy Demiryollarının İnşası Hakkında Kanun
25.03.1340	452	Anadolu Demiryolları İdaresine Dörtyüz Binliranın İkrazına Dair Kanun
29.03.1340	455	10.11.1339 Tarihli Kanunun İkinci Maddesini Muaddil Kanun
01.04.1340	458	Ergani Bakır Madeninin İşletilmesi Hakkında Kanun
03.04.1340	459	1324 Temmuz undan İtibaren 1339 Senesi Gayesine Kadar Bilcümle Matlubat ve Düyunu Hazinenin Sureti Mahsubuna Dair Kanun
09.04.1340	471	Mahsulat ve Muamelat-i Dahiliyemiz İçin İstimaline Zaruret ve Lüzum Görülen Mevaddı İptidaiyenin Kabulü Muvakkat Usulüne Tevfikan Bila Resim İthaline Dair Kanun
10.04.1340	474	Artvin - Ardahan - Kars Vilayetleri ile Kulp ve Iğdır Kazaları ve Hopa Kazasının Kemalpaşa Nahiyesindeki Arazide Hakkı Tasarrufa Ait Kanun
