5637 sayılı Uygulama İmkanı Kalmamış Bazı Kanunların Yürürlükten Kaldırılmasına Dair Kanun
Yayımlandığı Resmî Gazete Tarihi: 02.05.2007
Yayımlandığı Resmî Gazete Sayısı: 26510
Kabul Tarihi	26.04.2007
Madde 0001 : Yürürlükten kaldırılan kanunlar
(1) Ekli listede yer alan kanunlar yürürlükten kaldırılmıştır.
Madde 0002 : Yürürlük
(1) Bu Kanun yayımı tarihinde yürürlüğe girer.
Madde 0003 : Yürütme
(1) Bu Kanun hükümlerini Bakanlar Kurulu yürütür.
Liste :
Sıra  	  Kanunun  	  Kanunun
No.  	  Tarihi  	  Numarası  	  Kanunun Adı
1.  	  16 Teşrinisani 1329  	  Merakibi Bahriyeden Maada Mahallerde Kullanılan Müvellidi Buharlarla, Buhar Hazineleri ve Motörler Nizamnamesine Muhalefet Edenler Hakkında Kanunu Muvakkat
37.  	  18/7/1944  	  4626  	  Memur Meskenleri İnşaası Hakkında Kanun
38.  	  25/6/1945  	  4768  	  Elektrik İşletme Müesseseleri Hakkında Kanun
39.  	  8/2/1946  	  4860  	  Devlet Havayolları Genel Müdürlüğü İhtiyaçları İçin Gelecek Yıllara Geçici Yüklenmelere Girişilmesi Hakkında Kanun
40.  	  17/5/1946  	  4893  	  Şark Halı ve Kilimleriyle Benzerleri ve Hayvan Postları İçin Kurulacak Serbest Yer Hakkında Kanun
41.  	  17/2/1947  	  5005  	  Bucak Müdürlerinin Devir Masrafları Hakkında Kanun
42.  	  19/1/1948  	  5164  	  Amerika Birleşik Devletlerince Türkiye'ye Yapılacak Yardımdan Münhasıran Milli Savunma İhtiyaçları İçin Sağlanacak Maddelerin Vergi Muaflıkları Hakkında Kanun
43.  	  7/6/1948  	  5215  	  Gümrük Koruma Memurlarının Askerî Teşkilâta Göre Tensikı Hakkındaki 1841 Sayılı Kanuna Ek Kanun
44.  	  6/7/1948  	  5243  	  Erzincan'da Yaptırılacak Meskenler Hakkında Kanun
45.  	  11/4/1949  	  5367  	  Bilumum Hava Meydan ve Limanlariyle Bunlarla İlgili Bina ve Tesislerin Bayındırlık Bakanlığınca Yapılması Hakkında Kanun
46.  	  31/5/1949  	  5408  	  Türkiye Büyük Millet Meclisi Hesaplarını İnceleme Komisyonu Üyelerine Ankara Dışında Yapacakları İncelemeler İçin Verilecek İkamet Yevmiyesi Hakkında Kanun
47.  	  18/1/1950  	  5516  	  Bataklıkların Kurutulması ve Bundan Elde Edilecek Topraklar Hakkında Kanun
